config,input_dim,output_dim,hidden_dim,hidden_layers,n_parameters,lr,batch_size,steps,final_train_mse_20d,final_val_mse_20d,endpoint_mmd_20d,sliced_w2_20d,sample_nfe,wall_time_sec
tiny,20,20,64,3,11028,0.001,192,300,5.679418087005615,6.644771258036296,0.019059362622626478,0.591565210769704,30,0.5380765991285443
small,20,20,128,4,54932,0.001,192,300,5.898505210876465,6.389340082804362,0.015732225767220637,0.6044569433566518,30,0.5800951914861798
medium,20,20,256,4,208148,0.001,192,300,6.073958873748779,5.915457884470622,0.014369825983078684,0.5630487945227359,30,0.5859702052548528
